"ID" "Gene"
"A_06_P1979" "YDL243C"
"A_06_P3177" "YGL222C"
"A_06_P5949" "YNL177C"
"A_06_P5606" "YMR171C"
"A_06_P1323" "YBR074W"
"A_06_P1544" "YBR290W"
"A_06_P6874" "YPL115C"
"A_06_P2479" "YDR486C"
"A_06_P7108" "YPR062W"
"A_06_P1823" "YDL093W"
"A_06_P4487" "YKL077W"
"A_06_P6570" "YOR208W"
"A_06_P4081" "YJL060W"
"A_06_P1783" "YDL054C"
"A_06_P1327" "YBR079C"
"A_06_P5388" "YML097C"
"A_06_P7043" "YPL282C"
"A_06_P3887" "YIL088C"
"A_06_P4185" "YJL163C"
"A_06_P4757" "YLL013C"
"A_06_P5910" "YNL139C"
"A_06_P4882" "YLR070C"
"A_06_P6774" "YPL015C"
"A_06_P6919" "YPL160W"
"A_06_P5872" "YNL101W"
"A_06_P1751" "YDL023C"
"A_06_P6985" "YPL225W"
"A_06_P3845" "YIL045W"
"A_06_P1265" "YBR018C"
"A_06_P3182" "YGL226W"
"A_06_P3156" "YGL201C"
"A_06_P2443" "YDR450W"
"A_06_P4622" "YKL210W"
"A_06_P4793" "YLL048C"
"A_06_P2559" "YEL019C"
"A_06_P6211" "YOL020W"
"A_06_P3961" "YIL162W"
"A_06_P5476" "YMR048W"
"A_06_P3221" "YGR001C"
"A_06_P5539" "YMR110C"
"A_06_P6365" "YOR005C"
"A_06_P1273" "YBR026C"
"A_06_P3576" "YHR006W"
"A_06_P3042" "YGL087C"
"A_06_P4582" "YKL169C"
"A_06_P4696" "YKR058W"
"A_06_P1285" "YBR038W"
"A_06_P2114" "YDR126W"
"A_06_P1561" "YCL004W"
"A_06_P3300" "YGR080W"
"A_06_P6112" "YNR001W-A"
"A_06_P5221" "YLR403W"
"A_06_P1185" "YBL055C"
"A_06_P4003" "YIR026C"
"A_06_P5786" "YNL015W"
"A_06_P5738" "YMR297W"
"A_06_P4570" "YKL159C"
"A_06_P2232" "YDR243C"
"A_06_P4140" "YJL120W"
"A_06_P1969" "YDL234C"
"A_06_P2431" "YDR438W"
"A_06_P4908" "YLR096W"
"A_06_P3672" "YHR097C"
"A_06_P1387" "YBR135W"
"A_06_P1555" "YBR301W"
