"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P1962" -8.76939386333333 4.880257788 -97.7186716253481 2.65720075302332e-10 1.12956615524172e-06 12.7951485747095
"A_06_P5916" -7.38015563333333 4.42809338 -91.9787932844133 3.73422877126507e-10 1.12956615524172e-06 12.6680759069746
"A_06_P2852" -6.68892727266667 3.9464005576 -83.8883436172492 6.26533763195129e-10 1.12956615524172e-06 12.4541323979228
"A_06_P1145" -5.7575536125 3.297795555 -81.9323425085683 7.15368052717999e-10 1.12956615524172e-06 12.3951509791526
"A_06_P3147" 7.76808070266667 -4.6387188856 61.8346223952978 3.47742329206691e-09 4.39268110253892e-06 11.5538086463329
"A_06_P6574" -3.84747618916667 2.308486191 -55.5771685877725 6.33113562242979e-09 6.66457543187776e-06 11.1671084585245
"A_06_P4621" -3.92402936733333 2.3064830864 -47.1135265492335 1.60051958326945e-08 1.41962948831021e-05 10.4968061408055
"A_06_P3815" -5.1966852385 3.1180109046 -45.7615337310287 1.8845916979205e-08 1.41962948831021e-05 10.370061209272
"A_06_P3574" -4.4142757385 2.6485652046 -45.1875372771827 2.02290459068902e-08 1.41962948831021e-05 10.31434498889
"A_06_P4179" -4.78823951166667 2.720997162 -43.6597696023943 2.45344583575541e-08 1.54959638986312e-05 10.160208049662
"A_06_P2454" -6.64439728666667 3.801886152 -42.1978816176537 2.96989746585833e-08 1.70526112676011e-05 10.0043061456341
"A_06_P7242" 3.994041595 -1.819106762 39.7201514071502 4.16976791329391e-08 2.14472476311956e-05 9.71954402139223
"A_06_P2091" -3.10841893333333 1.86505136 -38.8251147814056 4.73810136604955e-08 2.14472476311956e-05 9.60980357252278
"A_06_P4843" -3.0683931 1.28235676 -38.8019484984207 4.75398142553418e-08 2.14472476311956e-05 9.60691188301657
"A_06_P3794" 3.80438357666667 0.948982054 34.1458775768008 9.73041615591948e-08 4.0971538960525e-05 8.96773501828071
"A_06_P3712" 4.19614362333333 0.785251326 31.7719691410631 1.45661120896208e-07 5.74997274737781e-05 8.59126316114806
"A_06_P1124" 4.10405554 -2.106183984 28.6308017469684 2.60767195201161e-07 9.68826826406197e-05 8.02927367095961
"A_06_P1719" 3.76568745 0.82810908 28.0765593272294 2.90878232249095e-07 0.000100251556773772 7.92156763238729
"A_06_P2987" -5.74388632 3.029299072 -27.895649012461 3.01580047292854e-07 0.000100251556773772 7.8858087633751
"A_06_P5080" -4.00116082833333 2.327214702 -27.2807766598965 3.41582346895269e-07 0.000104842442610642 7.76198809916699
"A_06_P3968" 3.97337407 -2.037894072 27.1818089003459 3.48589502030317e-07 0.000104842442610642 7.74172177856613
"A_06_P6778" 2.15456363 0.632123772 26.5527541929654 3.97301591819711e-07 0.000114061675178786 7.61065611159544
"A_06_P1572" -2.3729564675 1.339372513 -26.0109453057927 4.45781382166461e-07 0.000122415443902755 7.4945586319599
"A_06_P3793" 4.08065702833334 -2.106838622 25.3770233050768 5.11616226477361e-07 0.000132696717066107 7.35478839058664
"A_06_P4328" -5.70045726783333 3.3814884262 -25.2578155345448 5.25240330375659e-07 0.000132696717066107 7.32801597588881
"A_06_P5417" 3.31199639466667 1.3006095632 24.9088808964315 5.67642464105693e-07 0.000133272939374765 7.24873642486048
"A_06_P4192" -3.30396144166667 1.73004799 -24.8925566407394 5.69722825066284e-07 0.000133272939374765 7.24499372990778
"A_06_P4396" 1.61331956 -0.192006496 24.4718654452015 6.26562902820497e-07 0.000138485989492386 7.14747993648361
"A_06_P6540" 1.62109916666667 -0.9726595 24.4073342350001 6.35860306408992e-07 0.000138485989492386 7.13233898036851
"A_06_P1547" -1.568622147 0.8763706412 -23.9629951486671 7.04476316928317e-07 0.000141894998192419 7.02673096696427
"A_06_P7168" -1.840423254 1.0648075984 -23.8804643557143 7.18161146660573e-07 0.000141894998192419 7.00685142655253
"A_06_P1321" -2.43006533666667 1.312262932 -23.8759975059284 7.1891069381846e-07 0.000141894998192419 7.00577308527283
"A_06_P6105" -1.78695203333333 1.07217122 -23.6240046826061 7.62725907889833e-07 0.000144332419370004 6.94453820766257
"A_06_P2885" -1.83496346666667 1.10097808 -23.5457655853366 7.76963625487674e-07 0.000144332419370004 6.92536406394742
"A_06_P4136" -1.47768839 0.580114744 -21.8862925677809 1.16744649158202e-06 0.000205259123848962 6.49962748025213
"A_06_P1579" -2.04585733333333 0.6332897 -21.8779133525992 1.16993800800548e-06 0.000205259123848962 6.49738104435935
"A_06_P4329" -4.1483 1.3962314 -21.6874087825011 1.22830728843968e-06 0.000209675373886081 6.44603157660595
"A_06_P3513" -2.30052906666667 -0.10258976 -21.5459746160751 1.27386342344153e-06 0.00021172951006465 6.4075636001301
"A_06_P1127" 3.40901254333333 1.055307224 21.3426128543884 1.34289739536459e-06 0.000217480511515968 6.35172887005313
"A_06_P3148" -5.15828002666667 2.648886256 -20.8734594410127 1.51965464067181e-06 0.000239019494431158 6.22050822950668
"A_06_P6348" 3.96153642333333 -1.885061464 20.7955669913596 1.55158316524343e-06 0.000239019494431158 6.19838931564671
"A_06_P5926" -1.43853601833333 0.655018426 -20.4705519733676 1.69361508146859e-06 0.000254687448917991 6.10504703072723
"A_06_P4975" -2.96322216333333 -0.491807102 -20.2649826698619 1.79134958786471e-06 0.000263120092952407 6.04511953888651
"A_06_P1343" 3.57492855333333 0.900580768 19.7561302883907 2.06322700552476e-06 0.000296166858338508 5.89372142229419
"A_06_P2485" -1.36400909066667 0.8184059304 -19.2196686190571 2.40400641444625e-06 0.000337415655858722 5.72920850390334
"A_06_P1279" -2.46326701666667 1.00911306 -19.1004768127165 2.48846144185194e-06 0.000341676575363845 5.69194890305174
"A_06_P3659" -1.2556058765 0.7533630494 -18.9556041043067 2.5958537726161e-06 0.000348838562294538 5.64630606115314
"A_06_P2270" 2.07974242166667 0.912598797 18.3875994863836 3.07300633924152e-06 0.000383712372105775 5.46349059138487
"A_06_P5271" -1.96068509566667 1.1300348284 -18.2646658888173 3.18943395428962e-06 0.000383712372105775 5.42309119015825
"A_06_P4972" -1.651048205 -0.684076127 -18.1946011893701 3.25810835646651e-06 0.000383712372105775 5.39993011123636
"A_06_P6106" -1.37710994 0.826265724 -18.1918091832037 3.26088076697819e-06 0.000383712372105775 5.39900510895207
"A_06_P3713" 1.90559762 0.631681828 18.1593217168897 3.29334489786278e-06 0.000383712372105775 5.38823025622619
"A_06_P6182" 1.6547049 -0.99282294 18.1536499613319 3.2990514471622e-06 0.000383712372105775 5.38634695199451
"A_06_P4842" -2.023962655 1.042021938 -18.1203190273352 3.33282261585075e-06 0.000383712372105775 5.3752661862573
"A_06_P5534" 2.6419247225 -1.585155311 18.0330316484841 3.42320586711337e-06 0.000383712372105775 5.34614007029292
"A_06_P7169" -1.7839675 1.0703805 -18.019903722185 3.43704720969694e-06 0.000383712372105775 5.34174598949269
"A_06_P6961" -1.7152981 0.98537636 -17.8738233613324 3.59558991911864e-06 0.000383712372105775 5.29261012320159
"A_06_P4970" -2.87057957666667 -0.463701254 -17.7555276902849 3.73030113562658e-06 0.000383712372105775 5.25249292068928
"A_06_P5517" 1.22924805833333 -0.45262051 17.7130266291599 3.78014203678979e-06 0.000383712372105775 5.2380074732412
